Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,Asset UUID,Vulnerability State,IP Address,FQDN,NetBios,OS,MAC Address,Plugin Family,CVSS Base Score,CVSS Temporal Score,CVSS Temporal Vector,CVSS Vector,CVSS3 Base Score,CVSS3 Temporal Score,CVSS3 Temporal Vector,CVSS3 Vector,System Type,Host Start,Host End
"11219","","0.0","None","172.21.21.13","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target.

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Port scanners","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"11219","","0.0","None","172.21.21.13","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target.

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Port scanners","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"25220","","0.0","None","172.21.21.13","tcp","0","TCP/IP Timestamps Supported","The remote service implements TCP timestamps.","The remote host implements TCP timestamps, as defined by RFC1323.  A
side effect of this feature is that the uptime of the remote host can
sometimes be computed.","n/a","http://www.ietf.org/rfc/rfc1323.txt","","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","General","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"22964","","0.0","None","172.21.21.13","tcp","443","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A TLSv1.2 server answered on this port.
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Service detection","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"22964","","0.0","None","172.21.21.13","tcp","80","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A web server is running on this port.","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Service detection","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"22964","","0.0","None","172.21.21.13","tcp","443","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A web server is running on this port through TLSv1.2.","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Service detection","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"50344","","0.0","None","172.21.21.13","tcp","80","Missing or Permissive Content-Security-Policy frame-ancestors HTTP Response Header","The remote web server does not take steps to mitigate a class of web
application vulnerabilities.","The remote web server in some responses sets a permissive
Content-Security-Policy (CSP) frame-ancestors response header or does
not set one at all.

The CSP frame-ancestors header has been proposed by the W3C Web
Application Security Working Group as a way to mitigate cross-site
scripting and clickjacking attacks.","Set a non-permissive Content-Security-Policy frame-ancestors header
for all requested resources.","http://www.nessus.org/u?55aa8f57
http://www.nessus.org/u?07cc2a06
https://content-security-policy.com/
https://www.w3.org/TR/CSP2/","
The following pages do not set a Content-Security-Policy frame-ancestors response header or set a permissive policy:

  - http://172.21.21.13/
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","CGI abuses","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"50344","","0.0","None","172.21.21.13","tcp","443","Missing or Permissive Content-Security-Policy frame-ancestors HTTP Response Header","The remote web server does not take steps to mitigate a class of web
application vulnerabilities.","The remote web server in some responses sets a permissive
Content-Security-Policy (CSP) frame-ancestors response header or does
not set one at all.

The CSP frame-ancestors header has been proposed by the W3C Web
Application Security Working Group as a way to mitigate cross-site
scripting and clickjacking attacks.","Set a non-permissive Content-Security-Policy frame-ancestors header
for all requested resources.","http://www.nessus.org/u?55aa8f57
http://www.nessus.org/u?07cc2a06
https://content-security-policy.com/
https://www.w3.org/TR/CSP2/","
The following pages do not set a Content-Security-Policy frame-ancestors response header or set a permissive policy:

  - https://172.21.21.13/
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","CGI abuses","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"43111","","0.0","None","172.21.21.13","tcp","80","HTTP Methods Allowed (per directory)","This plugin determines which HTTP methods are allowed on various CGI
directories.","By calling the OPTIONS method, it is possible to determine which HTTP
methods are allowed on each directory.

The following HTTP methods are considered insecure:
  PUT, DELETE, CONNECT, TRACE, HEAD

Many frameworks and languages treat 'HEAD' as a 'GET' request, albeit
one without any body in the response. If a security constraint was
set on 'GET' requests such that only 'authenticatedUsers' could
access GET requests for a particular servlet or resource, it would be
bypassed for the 'HEAD' version. This allowed unauthorized blind
submission of any privileged GET request.

As this list may be incomplete, the plugin also tests - if 'Thorough
tests' are enabled or 'Enable web applications tests' is set to 'yes'
in the scan policy - various known HTTP methods on each directory and
considers them as unsupported if it receives a response code of 400,
403, 405, or 501.

Note that the plugin output is only informational and does not
necessarily indicate the presence of any security vulnerabilities.","n/a","http://www.nessus.org/u?d9c03a9a
http://www.nessus.org/u?b019cbdb
https://www.owasp.org/index.php/Test_HTTP_Methods_(OTG-CONFIG-006)","
Based on tests of each method :

  - HTTP methods ACL BASELINE-CONTROL BCOPY BDELETE BMOVE BPROPFIND
    BPROPPATCH CHECKIN CHECKOUT CONNECT COPY DEBUG DELETE GET HEAD
    INDEX LABEL LOCK MERGE MKACTIVITY MKCOL MKWORKSPACE MOVE NOTIFY
    OPTIONS ORDERPATCH PATCH POLL POST PROPFIND PROPPATCH PUT REPORT
    RPC_IN_DATA RPC_OUT_DATA SEARCH SUBSCRIBE TRACE UNCHECKOUT UNLOCK
    UNSUBSCRIBE UPDATE VERSION-CONTROL X-MS-ENUMATTS are allowed on :

    /

  - Invalid/unknown HTTP methods are allowed on :

    /
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"49704","","0.0","None","172.21.21.13","tcp","80","External URLs","Links to external sites were gathered.","Nessus gathered HREF links to external sites by crawling the remote
web server.","n/a","","
1 external URL was gathered on this web server :
URL...                                  - Seen on...


http://www.sample.corp.123/network-operations  - /
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"49704","","0.0","None","172.21.21.13","tcp","443","External URLs","Links to external sites were gathered.","Nessus gathered HREF links to external sites by crawling the remote
web server.","n/a","","
1 external URL was gathered on this web server :
URL...                                  - Seen on...


http://www.sample.corp.123/network-operations  -
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"91815","","0.0","None","172.21.21.13","tcp","80","Web Application Sitemap","The remote web server hosts linkable content that can be crawled by
Nessus.","The remote web server contains linkable content that can be used to
gather information about a target.","n/a","http://www.nessus.org/u?5496c8d9","
The following sitemap was created from crawling linkable content on the target host :

  - http://172.21.21.13/

Attached is a copy of the sitemap file.
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"91815","","0.0","None","172.21.21.13","tcp","443","Web Application Sitemap","The remote web server hosts linkable content that can be crawled by
Nessus.","The remote web server contains linkable content that can be used to
gather information about a target.","n/a","http://www.nessus.org/u?5496c8d9","
The following sitemap was created from crawling linkable content on the target host :

  - https://172.21.21.13/

Attached is a copy of the sitemap file.
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
